;;K0,1radni,13prijelazno DF;P1,1radni,13prijelazno DF;P2,1radni,13prijelazno DF;JR0,1radni,13prijelazno DF;K0,2subota,13prijelazno;P1,2subota,13prijelazno;P2,2subota,13prijelazno;JRO,2subota,13prijelazno;K0,3nedjelja,13prijelazno;P1,3nedjelja,13prijelazno;P2,3nedjelja,13prijelazno;JRO,3nedjelja,13prijelazno
19;15;81,59390261;74,99845508;74,87235563;17,30966435;98,74129578;70,84980658;73,94754834;75,34452159;99,65920097;98,4731543;100;73,18037955
19;30;84,57692074;74,64712385;74,37339783;25,844385;100;70,7472506;74,87062887;82,42866889;98,48227141;98,96501664;96,78903784;81,71503311
19;45;86,79073027;73,02931501;74,84541752;35,55568763;99,39577237;69,13932583;75,15045798;91,12012989;99,22140412;97,27253871;96,84543423;90,43953791
20;00;90,45495581;70,26192089;71,69299839;52,94363249;97,85190761;68,40932304;71,21702243;92,96658728;99,25184995;94,22058731;93,06587368;92,31916845
20;15;93,12213636;61,02790861;65,42820651;80,83142522;96,99828018;58,55086202;62,12550583;92,9688057;98,06719945;80,84020467;78,67672803;92,26682712
20;30;95,32894589;57,56169771;61,4684637;93,55343545;96,02303424;54,3818867;57,14137843;93,25639719;97,24596557;79,08264738;75,51877512;92,12484231
20;45;95,78492064;56,63814316;60,3339231;93,93290318;94,09822246;52,77804776;55,35804181;93,63436862;95,17604212;78,31572726;72,0828163;92,85988078
21;00;95,66310498;55,06075221;58,01714859;94,48838468;93,23756442;52,90626471;51,17034559;93,9985559;94,18971437;76,82304682;68,20051467;93,75128538
21;15;98,25626244;53,69176312;51,61542946;97,38456657;95,95115827;49,91898693;44,10835837;97,51709708;97,99627917;75,9516405;56,03875586;96,75772482
21;30;100;52,43252379;47,69012625;99,69711393;98,16822565;48,74896946;40,17443285;99,95936272;99,73472225;73,48991095;52,52407326;99,48674549
21;45;98,84449451;50,80842981;48,75131243;100;95,02391175;47,79527798;38,47223955;100;100;74,75970763;49,63253825;99,40090322
22;00;96,42503955;50,03490617;43,52964723;98,76831061;93,10678662;47,24312292;36,97808774;98,23970596;95,25376689;73,01452462;45,49452884;97,8090029
22;15;92,39462024;48,87974668;41,40346085;99,08386472;87,85815459;47,09205289;34,88881486;98,44045125;89,28578019;70,77374885;47,15005084;98,82372764
22;30;86,76909227;47,41122071;39,41593777;98,75007493;81,81989915;45,30119803;34,24578663;98,31603443;83,50980586;67,61486315;47,28556605;100
22;45;79,91534093;45,32897543;38,20958045;97,64957527;76,63872112;45,07231853;33,74665689;96,97608977;76,60511982;67,02055252;46,19727442;97,6608094
23;00;72,96955913;43,69053969;37,44139826;97,7443967;71,34482377;44,3043797;34,7993856;96,4155052;69,84882368;65,31108048;44,50687869;96,9122005
23;15;66,78592822;42,14405881;36,32090855;98,09541981;65,77796082;42,99320194;35,33041753;96,61797439;63,75673975;62,70796209;44,69493129;97,04432273
23;30;60,80704709;41,03899296;36,90335563;97,87396817;61,26386924;42,10813416;35,71782548;96,53714645;58,20624997;61,98019408;44,31946621;96,66873193
23;45;55,75642144;40,09010644;35,50681255;98,02171438;55,78042979;41,32760958;36,71524611;97,41433715;53,6926665;61,60927668;45,45168836;96,4126544
