X	X.1	K0.1radni.4zima.DF
3	0	99,65416683
3	15	99,39349904
3	30	99,32112384
3	45	99,13529973
4	0	99,18738212
4	15	99,25697647
4	30	99,06683609
4	45	99,11707435
5	0	98,98869746
5	15	98,88864599
5	30	98,79746988
5	45	98,64471737
6	0	98,43983204
6	15	94,49562998
6	30	89,28161858
6	45	79,80259997
7	0	64,27873768
7	15	53,9246617
7	30	17,61964059
7	45	2,805222208
8	0	1,645399643
8	15	1,055349886
8	30	0,829505918
8	45	0,659333775
9	0	0,598201943
9	15	0,394328975
9	30	0,359736994
9	45	0,354737003
10	0	0,387020357
10	15	0,507729482
10	30	0,713246472
10	45	0,920969591
11	0	0,874823902
11	15	0,739987658
11	30	0,987954338
11	45	1,193151634
12	0	1,142471258
12	15	1,230251948
12	30	1,064236228
12	45	1,161573151
13	0	1,737898863
13	15	1,365041011
13	30	1,350319652
13	45	1,61562625
14	0	1,967263527
14	15	1,549392336
14	30	1,610803595
14	45	1,760462476
15	0	1,669763057
15	15	2,030037755
15	30	2,041425109
15	45	1,900783946
16	0	1,992546569
16	15	2,739903854
16	30	5,325105723
16	45	21,78783475
17	0	46,18116622
17	15	58,38196417
17	30	66,56160056
17	45	72,16068854
18	0	80,97197592
18	15	87,91793159
18	30	94,16407808
18	45	94,61124598
19	0	94,67462054
19	15	94,75454637
19	30	94,84772321
19	45	94,77948491
20	0	94,80790266
20	15	95,12748557
20	30	95,1822032
20	45	95,40050549
21	0	95,8207935
21	15	98,17681088
21	30	100
21	45	99,53176325
22	0	98,23596273
22	15	98,86339548
22	30	98,6187982
22	45	97,86539358
23	0	97,76921544
23	15	98,22979297
23	30	98,99027559
23	45	98,75800725
X	X.1	K0.3nedjelja.4zima
0	0	71,27291505
0	15	65,79886926
0	30	61,53287808
0	45	57,46210693
1	0	53,37245547
1	15	50,55538634
1	30	48,42717122
1	45	46,19116005
2	0	44,47561419
2	15	43,22725968
2	30	42,04159235
2	45	40,47760637
3	0	39,61173624
3	15	38,49481472
3	30	37,76602261
3	45	37,75799798
4	0	36,69430793
4	15	36,51171572
4	30	36,57252295
4	45	36,40166446
5	0	36,07003453
5	15	36,25040729
5	30	36,24607413
5	45	36,71149853
6	0	37,5468282
6	15	38,788542
6	30	39,53462267
6	45	41,62175264
7	0	42,57744244
7	15	44,85619894
7	30	47,98667853
7	45	51,52262068
8	0	54,68143372
8	15	58,45235468
8	30	63,18664848
8	45	67,93183893
9	0	71,74747535
9	15	74,37297289
9	30	77,40460731
9	45	79,75720834
10	0	82,71515736
10	15	85,03578686
10	30	88,82032253
10	45	89,99360409
11	0	91,50757582
11	15	92,27713846
11	30	93,17287729
11	45	94,14212893
12	0	94,08057428
12	15	93,66474948
12	30	92,14495546
12	45	91,01176388
13	0	86,87523348
13	15	83,38029874
13	30	81,11452045
13	45	78,43942695
14	0	77,36987936
14	15	76,25031441
14	30	75,55424747
14	45	73,64811483
15	0	73,21105498
15	15	72,95853104
15	30	72,2594822
15	45	70,87974135
16	0	70,73115093
16	15	71,31302835
16	30	73,43364491
16	45	75,40666259
17	0	77,59328719
17	15	81,42980051
17	30	84,54826337
17	45	87,63213616
18	0	88,91159194
18	15	90,69837466
18	30	91,54739679
18	45	93,28106156
19	0	93,47578764
19	15	94,95389111
19	30	97,13491267
19	45	96,26056387
20	0	96,07416823
20	15	96,88107427
20	30	95,94271658
20	45	94,59878231
21	0	92,4778926
21	15	96,03999177
21	30	99,71697293
21	45	100
22	0	98,82517644
22	15	99,27607181
22	30	96,0336553
22	45	90,88108193
23	0	85,26804034
23	15	78,73869558
23	30	72,42938697
23	45	67,61184009
X	X.1	P1.3nedjelja.4zima
0	0	64,15094142
0	15	63,2159231
0	30	63,64918851
0	45	61,25070706
1	0	62,19759364
1	15	60,46095828
1	30	61,2719976
1	45	61,13830467
2	0	60,14094299
2	15	60,31127898
2	30	59,22772852
2	45	59,69026405
3	0	58,30403794
3	15	58,83552371
3	30	58,37681076
3	45	58,38451424
4	0	58,0293958
4	15	57,99799857
4	30	58,03521327
4	45	58,82892462
5	0	56,40351403
5	15	56,32063453
5	30	56,73104615
5	45	57,04640669
6	0	57,56775855
6	15	59,87917239
6	30	65,08007615
6	45	64,4959065
7	0	62,53814118
7	15	61,8473205
7	30	61,75779135
7	45	61,92964003
8	0	60,16641386
8	15	62,68450732
8	30	63,44526986
8	45	64,99777995
9	0	64,01055606
9	15	63,48750873
9	30	64,32125796
9	45	68,02665195
10	0	71,85406114
10	15	81,71088916
10	30	86,00919456
10	45	88,23301581
11	0	87,47467592
11	15	87,14680549
11	30	88,36179733
11	45	88,21877934
12	0	89,25913819
12	15	89,12204267
12	30	88,72445592
12	45	84,57605148
13	0	84,89469407
13	15	84,98819357
13	30	84,37963798
13	45	83,32567263
14	0	83,1243905
14	15	83,39109972
14	30	84,75286602
14	45	82,80320471
15	0	83,12275336
15	15	83,80899317
15	30	83,4181494
15	45	83,43197367
16	0	84,90905498
16	15	85,54931111
16	30	87,23410643
16	45	89,70350191
17	0	92,07730967
17	15	93,50742735
17	30	96,86566303
17	45	97,76898858
18	0	97,66930607
18	15	100
18	30	98,30924333
18	45	97,98172677
19	0	97,2531042
19	15	97,53357159
19	30	97,02960213
19	45	96,00264368
20	0	95,57204979
20	15	96,80360353
20	30	93,93394201
20	45	93,36839915
21	0	89,00612491
21	15	79,62887652
21	30	75,87720721
21	45	74,97460884
22	0	74,30951958
22	15	72,64095174
22	30	71,60986739
22	45	69,98068802
23	0	67,78276151
23	15	66,13405706
23	30	64,66125331
23	45	63,84499538
X	X.1	P2.3nedjelja.4zima
0	0	68,63901538
0	15	69,20444262
0	30	68,6164529
0	45	67,33361603
1	0	66,18105075
1	15	67,11958683
1	30	67,50613312
1	45	69,20110691
2	0	69,46367112
2	15	70,81527014
2	30	69,63059828
2	45	67,38874471
3	0	68,02996037
3	15	67,94827448
3	30	63,96798832
3	45	60,28582694
4	0	59,57422015
4	15	57,38079343
4	30	56,59500693
4	45	51,77164937
5	0	50,31620416
5	15	48,95039037
5	30	49,07595412
5	45	49,17125996
6	0	50,29994471
6	15	49,70702748
6	30	50,41650511
6	45	49,7586988
7	0	47,93748194
7	15	46,8690832
7	30	47,60210339
7	45	49,09152074
8	0	48,81653636
8	15	49,90004885
8	30	48,64550969
8	45	51,61495576
9	0	52,87282385
9	15	57,08365551
9	30	59,78529217
9	45	65,46101175
10	0	67,44093649
10	15	79,83043199
10	30	81,08334891
10	45	80,02312214
11	0	82,97190847
11	15	85,53826829
11	30	80,88802939
11	45	80,53815895
12	0	81,51116398
12	15	79,0205892
12	30	77,72956684
12	45	79,45107419
13	0	78,52956811
13	15	74,65552769
13	30	74,76154699
13	45	76,87809366
14	0	77,48767927
14	15	77,38185937
14	30	76,30839793
14	45	77,70320565
15	0	76,58898576
15	15	76,12464692
15	30	76,10792447
15	45	77,71866074
16	0	77,36297395
16	15	78,71307579
16	30	79,06981366
16	45	78,94830547
17	0	80,96483171
17	15	82,85789294
17	30	82,8644562
17	45	84,43514713
18	0	85,41411384
18	15	87,36917795
18	30	91,94188115
18	45	95,46986674
19	0	96,44488604
19	15	97,74974126
19	30	100
19	45	96,58831118
20	0	95,78157767
20	15	95,0352079
20	30	93,85682217
20	45	92,96272159
21	0	85,16433143
21	15	73,43568392
21	30	68,97007812
21	45	69,57833554
22	0	69,76582781
22	15	59,99258575
22	30	54,05658997
22	45	53,68342368
23	0	51,61843341
23	15	50,81951362
23	30	52,99742441
23	45	53,53001507
X	X.1	JRO.3nedjelja.4zima
0	0	97,88287732
0	15	98,81692293
0	30	99,72533749
0	45	99,34304201
1	0	100
1	15	99,72428241
1	30	99,78292889
1	45	98,99507844
2	0	98,67583858
2	15	99,59176052
2	30	99,6062965
2	45	99,46774714
3	0	98,91724528
3	15	99,12338991
3	30	99,1647667
3	45	99,28291365
4	0	99,02706895
4	15	99,02210251
4	30	99,07307225
4	45	98,99157921
5	0	98,88953144
5	15	98,60411222
5	30	98,66131728
5	45	98,26786129
6	0	98,23630512
6	15	95,1359643
6	30	90,21073247
6	45	82,61768768
7	0	66,960539
7	15	58,44818727
7	30	33,67702962
7	45	8,218618753
8	0	1,317317244
8	15	1,110251992
8	30	0,910430734
8	45	0,956887806
9	0	0,866938214
9	15	0,720115953
9	30	0,742390549
9	45	0,772380754
10	0	0,730414934
10	15	0,826196451
10	30	0,946833954
